;Country;Christianisme;Islam;Sans-religion;Hindouisme;Bouddhisme;Religions traditionnelles;Autres;Judaisme
102;Niger;0.008;0.9840000000000001;0.006999999999999999;0.0;0.0;0.0;0.0;0.0
103;Nigeria;0.493;0.488;0.004;0.0;0.0;0.013999999999999999;0.0;0.0
104;North Macedonia;0.593;0.39299999999999996;0.013999999999999999;0.0;0.0;0.0;0.0;0.0
105;Norway;0.847;0.037000000000000005;0.10099999999999999;0.005;0.006;0.0;0.002;0.0
106;Pakistan;0.016;0.9640000000000001;0.0;0.019;0.0;0.0;0.0;0.0
107;Palestinian Territories;0.024;0.976;0.0;0.0;0.0;0.0;0.0;0.0
108;Panama;0.93;0.006999999999999999;0.048;0.0;0.002;0.004;0.004;0.004
109;Paraguay;0.9690000000000001;0.0;0.011000000000000001;0.0;0.0;0.017;0.002;0.0
110;Peru;0.955;0.0;0.03;0.0;0.002;0.01;0.003;0.0
111;Philippines;0.9259999999999999;0.055;0.001;0.0;0.0;0.015;0.001;0.0
112;Poland;0.943;0.0;0.055999999999999994;0.0;0.0;0.0;0.0;0.0
113;Portugal;0.919;0.003;0.075;0.0;0.002;0.0;0.0;0.0
114;Qatar;0.138;0.677;0.009000000000000001;0.138;0.031;0.0;0.006999999999999999;0.0
115;Romania;0.995;0.003;0.001;0.0;0.0;0.0;0.0;0.0
116;Russia;0.733;0.1;0.162;0.0;0.001;0.002;0.0;0.002
117;Rwanda;0.934;0.018000000000000002;0.036000000000000004;0.0;0.0;0.01;0.002;0.0
118;Saudi Arabia;0.044000000000000004;0.93;0.006999999999999999;0.011000000000000001;0.003;0.003;0.003;0.0
119;Senegal;0.036000000000000004;0.9640000000000001;0.0;0.0;0.0;0.0;0.0;0.0
120;Serbia;0.9259999999999999;0.040999999999999995;0.033;0.0;0.0;0.0;0.0;0.0
121;Sierra Leone;0.209;0.78;0.001;0.0;0.0;0.008;0.0;0.0
122;Singapore;0.182;0.14300000000000002;0.16399999999999998;0.052000000000000005;0.33899999999999997;0.023;0.09699999999999999;0.0
123;Slovakia;0.853;0.002;0.14300000000000002;0.0;0.0;0.0;0.0;0.0
124;Slovenia;0.784;0.036000000000000004;0.18;0.0;0.0;0.0;0.0;0.0
125;South Africa;0.812;0.017;0.149;0.011000000000000001;0.002;0.004;0.003;0.001
126;South Korea;0.294;0.002;0.46399999999999997;0.0;0.22899999999999998;0.008;0.002;0.0
127;Spain;0.7859999999999999;0.021;0.19;0.0;0.0;0.0;0.0;0.001
128;Sri Lanka;0.073;0.098;0.0;0.136;0.693;0.0;0.0;0.0
